,from,to,weight,effdistance
572,Austria,CzechRepublic,0.033366592,4.4
573,Austria,Greece,0.172083815,2.76
574,Austria,MacedoniaFormerYugoslavRepublicof,0.018165051,5.008
575,Austria,Albania,0.029790616000000002,4.514
576,Austria,Germany,0.460277844,1.776
577,Georgia,Turkey,0.323012448,2.13
578,Georgia,Poland,0.623320711,1.473
579,Georgia,Germany,0.05366684099999999,3.925
580,SyrianArabRepublic,Jordan,0.632073962,1.459
581,SyrianArabRepublic,UnitedArabEmirates,0.36792603799999996,2.0
582,Cyprus,Turkey,0.205928639,2.58
583,Cyprus,Austria,0.22066604899999998,2.511
584,Cyprus,RussianFederation,0.573405312,1.556
585,Israel,Israel,0.997962102,1.002
586,Israel,Germany,0.002037898,7.196
587,Armenia,RussianFederation,1.0,1.0
588,Azerbaijan,Turkey,0.172697453,2.756
589,Azerbaijan,RussianFederation,0.827302547,1.19
590,Poland,Georgia,0.005238856,6.252
591,Poland,Poland,0.15279974300000002,2.879
592,Poland,Germany,0.07143279,3.639
593,Poland,Denmark,0.554982383,1.589
594,Poland,Hungary,0.17727569899999998,2.73
